1 |  NAME: NADI | SURENAME: GERSA | MEMBERSHIP: ACTIVE | DISCIPLINE: BACKSTROKE | STATUS: SENIOR | ACTIVITY: ELITE | AGE: 21 | PAYED: true | TEAM: TWO | COACH: ART | RESULT: 0
2 |  NAME: ARIS | SURENAME: HOTA | MEMBERSHIP: PASSIVE | DISCIPLINE: BACKSTROKE | STATUS: SENIOR | ACTIVITY: CASUAL | AGE: 23 | PAYED: true | TEAM: null | COACH: JOHN | RESULT: 0
3 |  NAME: JEOA | SURENAME: PETA | MEMBERSHIP: ACTIVE | DISCIPLINE: BACKSTROKE | STATUS: SENIOR | ACTIVITY: ELITE | AGE: 43 | PAYED: true | TEAM: TWO | COACH: ART | RESULT: 13
4 |  NAME: JANE | SURENAME: SILVERSTER | MEMBERSHIP: PASSIVE | DISCIPLINE: BACKSTROKE | STATUS: SENIOR | ACTIVITY: ELITE | AGE: 34 | PAYED: true | TEAM: TWO | COACH: ART | RESULT: 23
5 |  NAME: SLE | SURENAME: JUKI | MEMBERSHIP: ACTIVE | DISCIPLINE: BACKSTROKE | STATUS: SENIOR | ACTIVITY: ELITE | AGE: 29 | PAYED: true | TEAM: TWO | COACH: ART | RESULT: 53
6 |  NAME: JOHN | SURENAME: DOE | MEMBERSHIP: ACTIVE | DISCIPLINE: BREASTSTROKE | STATUS: JUNIOR | ACTIVITY: ELITE | AGE: 16 | PAYED: true | TEAM: ONE | COACH: FENIX | RESULT: 0
7 |  NAME: JUNIZ | SURENAME: PEOA | MEMBERSHIP: PASSIVE | DISCIPLINE: BREASTSTROKE | STATUS: JUNIOR | ACTIVITY: CASUAL | AGE: 12 | PAYED: false | TEAM: null | COACH: JOHN | RESULT: 0
8 |  NAME: KIKI | SURENAME: FRANCKO | MEMBERSHIP: ACTIVE | DISCIPLINE: BREASTSTROKE | STATUS: SENIOR | ACTIVITY: CASUAL | AGE: 24 | PAYED: false | TEAM: null | COACH: ART | RESULT: 0
9 |  NAME: KILS | SURENAME: NOEL | MEMBERSHIP: ACTIVE | DISCIPLINE: BREASTSTROKE | STATUS: SENIOR | ACTIVITY: ELITE | AGE: 47 | PAYED: false | TEAM: TWO | COACH: FENIX | RESULT: 63
10 |  NAME: FERDINAN | SURENAME: SLOPE | MEMBERSHIP: ACTIVE | DISCIPLINE: BREASTSTROKE | STATUS: SENIOR | ACTIVITY: CASUAL | AGE: 67 | PAYED: true | TEAM: null | COACH: null | RESULT: 65
11 |  NAME: POLA | SURENAME: JURA | MEMBERSHIP: ACTIVE | DISCIPLINE: BUTERFLY | STATUS: SENIOR | ACTIVITY: ELITE | AGE: 31 | PAYED: true | TEAM: TWO | COACH: DOE | RESULT: 0
12 |  NAME: KEIPA | SURENAME: JEFA | MEMBERSHIP: ACTIVE | DISCIPLINE: BUTERFLY | STATUS: SENIOR | ACTIVITY: ELITE | AGE: 35 | PAYED: true | TEAM: TWO | COACH: DOE | RESULT: 0
13 |  NAME: BASEL | SURENAME: LFA | MEMBERSHIP: ACTIVE | DISCIPLINE: BUTERFLY | STATUS: SENIOR | ACTIVITY: ELITE | AGE: 35 | PAYED: true | TEAM: TWO | COACH: DOE | RESULT: 21
14 |  NAME: NUVA | SURENAME: JELSI | MEMBERSHIP: PASSIVE | DISCIPLINE: BUTERFLY | STATUS: SENIOR | ACTIVITY: CASUAL | AGE: 58 | PAYED: true | TEAM: null | COACH: JOHN | RESULT: 53
15 |  NAME: JUDI | SURENAME: STATE | MEMBERSHIP: ACTIVE | DISCIPLINE: FREESTYLE | STATUS: SENIOR | ACTIVITY: ELITE | AGE: 34 | PAYED: true | TEAM: TWO | COACH: JOHN | RESULT: 0
16 |  NAME: NABEL | SURENAME: BONS | MEMBERSHIP: ACTIVE | DISCIPLINE: FREESTYLE | STATUS: JUNIOR | ACTIVITY: ELITE | AGE: 17 | PAYED: false | TEAM: ONE | COACH: JOHN | RESULT: 0
17 |  NAME: OPERA | SURENAME: JUGA | MEMBERSHIP: PASSIVE | DISCIPLINE: FREESTYLE | STATUS: SENIOR | ACTIVITY: ELITE | AGE: 38 | PAYED: true | TEAM: TWO | COACH: JOHN | RESULT: 0
18 |  NAME: NAMY | SURENAME: JARO | MEMBERSHIP: ACTIVE | DISCIPLINE: FREESTYLE | STATUS: SENIOR | ACTIVITY: ELITE | AGE: 64 | PAYED: true | TEAM: TWO | COACH: JOHN | RESULT: 18
19 |  NAME: LASKE | SURENAME: TOA | MEMBERSHIP: ACTIVE | DISCIPLINE: FREESTYLE | STATUS: SENIOR | ACTIVITY: ELITE | AGE: 23 | PAYED: true | TEAM: TWO | COACH: JOHN | RESULT: 33
20 |  NAME: TATA | SURENAME: FRUITY | MEMBERSHIP: ACTIVE | DISCIPLINE: FREESTYLE | STATUS: JUNIOR | ACTIVITY: CASUAL | AGE: 15 | PAYED: false | TEAM: null | COACH: null | RESULT: 42
21 |  NAME: VERID | SURENAME: ALSIZ | MEMBERSHIP: ACTIVE | DISCIPLINE: FREESTYLE | STATUS: SENIOR | ACTIVITY: ELITE | AGE: 48 | PAYED: false | TEAM: TWO | COACH: JOHN | RESULT: 22
22 |  NAME: NIDI | SURENAME: JAER | MEMBERSHIP: ACTIVE | DISCIPLINE: FREESTYLE | STATUS: SENIOR | ACTIVITY: ELITE | AGE: 24 | PAYED: true | TEAM: TWO | COACH: JOHN | RESULT: 90
23 |  NAME: ART | SURENAME: TOFAN | MEMBERSHIP: ACTIVE | DISCIPLINE: FREESTYLE | STATUS: SENIOR | ACTIVITY: CASUAL | AGE: 32 | PAYED: false | TEAM: null | COACH: null | RESULT: 150
24 |  NAME: NATTI | SURENAME: VES | MEMBERSHIP: PASSIVE | DISCIPLINE: FREESTYLE | STATUS: SENIOR | ACTIVITY: CASUAL | AGE: 31 | PAYED: true | TEAM: null | COACH: null | RESULT: 500
